id	pop	hybrid.index	heterozygosity	perc.missing
Crotone498_SAMPLE	Crotone498_SAMPLE	Italian	0.552124954594987	0.403922993098438	0.0244507441530829
Crotone500_SAMPLE	Crotone500_SAMPLE	Italian	0.616300366300366	0.387179487179487	0.0326009922041106
Crotone501_SAMPLE	Crotone501_SAMPLE	Italian	0.54459753444525	0.45540246555475	0.0226789510985117
Crotone502_SAMPLE	Crotone502_SAMPLE	Italian	0.619030390738061	0.411722141823444	0.0205527994330262
Crotone505_SAMPLE	Crotone505_SAMPLE	Italian	0.658694846125324	0.366703744901743	0.0442948263642806
Crotone510_SAMPLE	Crotone510_SAMPLE	Italian	0.637001477104874	0.413589364844904	0.040396881644224
Crotone512_SAMPLE	Crotone512_SAMPLE	Italian	0.556457431457431	0.431818181818182	0.0177179305457123
Crotone514_SAMPLE	Crotone514_SAMPLE	Italian	0.639450867052023	0.427023121387283	0.0191353649893692
Crotone517_SAMPLE	Crotone517_SAMPLE	Italian	0.60983606557377	0.424043715846995	0.0272856130403969
Crotone518_SAMPLE	Crotone518_SAMPLE	Italian	0.590385307886208	0.408714440043212	0.015946137491141
Guglionesi_336_SAMPLE	Guglionesi_336_SAMPLE	Italian	0.528329123060267	0.439552508119812	0.0180722891566265
Guglionesi_426_SAMPLE	Guglionesi_426_SAMPLE	Italian	0.482226211849192	0.44524236983842	0.0131112686038271
Guglionesi_427_SAMPLE	Guglionesi_427_SAMPLE	Italian	0.54308472121651	0.451122375090514	0.0212615166548547
Guglionesi_428_SAMPLE	Guglionesi_428_SAMPLE	Italian	0.535830618892508	0.457835685848715	0.0209071580439405
Guglionesi_429_SAMPLE	Guglionesi_429_SAMPLE	Italian	0.520408163265306	0.470103831006087	0.0102763997165131
Guglionesi_431_SAMPLE	Guglionesi_431_SAMPLE	Italian	0.53309481216458	0.470125223613596	0.00956768249468462
Guglionesi_432_SAMPLE	Guglionesi_432_SAMPLE	Italian	0.52060737527115	0.390455531453362	0.0198440822111977
Guglionesi_433_SAMPLE	Guglionesi_433_SAMPLE	Italian	0.559949892627058	0.462061560486757	0.00992204110559887
Guglionesi_434_SAMPLE	Guglionesi_434_SAMPLE	Italian	0.560810810810811	0.428876244665718	0.00354358610914245
Guglionesi_435_SAMPLE	Guglionesi_435_SAMPLE	Italian	0.559921062073915	0.430929314675278	0.0124025513819986
KAZ14001_SAMPLE	KAZ14001_SAMPLE	Spanish	0.97978006385243	0.0361830436324938	0.00106307583274274
KAZ14003_SAMPLE	KAZ14003_SAMPLE	Spanish	0.97513611615245	0.0468239564428312	0.0237420269312544
KAZ14032_SAMPLE	KAZ14032_SAMPLE	Spanish	0.971428571428571	0.0471428571428571	0.00779588944011339
KAZ14035_SAMPLE	KAZ14035_SAMPLE	Spanish	0.97708703374778	0.0429840142095915	0.00248051027639972
KAZ14053_SAMPLE	KAZ14053_SAMPLE	Spanish	0.970419505198996	0.0555754750806741	0.0116938341601701
KAZ14054_SAMPLE	KAZ14054_SAMPLE	Spanish	0.972034200213751	0.0438190238688992	0.00531537916371368
KAZ14055_SAMPLE	KAZ14055_SAMPLE	Spanish	0.968214285714286	0.0592857142857143	0.00779588944011339
KAZ14057_SAMPLE	KAZ14057_SAMPLE	Spanish	0.974792942023767	0.0424918977313648	0.015946137491141
KAZ14059_SAMPLE	KAZ14059_SAMPLE	Spanish	0.971136608103263	0.0548583721764073	0.0116938341601701
KAZ14061_SAMPLE	KAZ14061_SAMPLE	Spanish	0.973064573671067	0.0510167677488405	0.00673281360737066
PD22NLD0146F_SAMPLE	PD22NLD0146F_SAMPLE	House	0.155974338412189	0.249398556535686	0.116229624379872
PD22NLD0147F_SAMPLE	PD22NLD0147F_SAMPLE	House	0.14478527607362	0.242944785276074	0.13359319631467
PDOM2022NLD0041J_SAMPLE	PDOM2022NLD0041J_SAMPLE	House	0.141469102215313	0.219976680917217	0.0882352941176471
PDOM2022NLD0042M_SAMPLE	PDOM2022NLD0042M_SAMPLE	House	0.125565610859729	0.197586726998492	0.0602409638554217
PDOM2022NLD0043F_SAMPLE	PDOM2022NLD0043F_SAMPLE	House	0.14477161192903	0.240468101170253	0.0613040396881644
PDOM2022NLD0044M_SAMPLE	PDOM2022NLD0044M_SAMPLE	House	0.161651376146789	0.254311926605505	0.0343727852586818
PDOM2022NLD0045M_SAMPLE	PDOM2022NLD0045M_SAMPLE	House	0.178610603290676	0.289945155393053	0.0308291991495393
PDOM2022NLD0046M_SAMPLE	PDOM2022NLD0046M_SAMPLE	House	0.196010248901903	0.259516837481698	0.0318922749822821
PDOM2022NLD0047F_SAMPLE	PDOM2022NLD0047F_SAMPLE	House	0.162838088180808	0.265653945905891	0.0435861091424522
PDOM2022NLD0048F_SAMPLE	PDOM2022NLD0048F_SAMPLE	House	0.136585365853659	0.213883677298311	0.0556343019135365
PDOM2022NLD0072M_SAMPLE	PDOM2022NLD0072M_SAMPLE	House	0.145076750280794	0.231748408835642	0.053508150248051
PDOM2022NLD0077M_SAMPLE	PDOM2022NLD0077M_SAMPLE	Meerkerk	0.186465082793377	0.264938804895608	0.0155917788802268
PDOM2022NLD0078F_SAMPLE	PDOM2022NLD0078F_SAMPLE	House	0.135559921414538	0.200392927308448	0.0981573352232459
PDOM2022NLD0080F_SAMPLE	PDOM2022NLD0080F_SAMPLE	House	0.147892577396494	0.237597911227154	0.0499645641389086
PDOM2022NLD0081F_SAMPLE	PDOM2022NLD0081F_SAMPLE	House	0.173854961832061	0.237022900763359	0.0715804394046775
PDOM2022NLD0082F_SAMPLE	PDOM2022NLD0082F_SAMPLE	House	0.150727272727273	0.237454545454545	0.0255138199858257
PDOM2022NLD0107J_SAMPLE	PDOM2022NLD0107J_SAMPLE	House	0.129192775525249	0.218577220788795	0.0386250885896527
PDOM2022NLD0108J_SAMPLE	PDOM2022NLD0108J_SAMPLE	House	0.171949870991522	0.301142646516771	0.0386250885896527
PI22NLD0001M_SAMPLE	PI22NLD0001M_SAMPLE	Y150239	0.199433656957929	0.262135922330097	0.124025513819986
