id	pop	hybrid.index	heterozygosity	perc.missing
Crotone498_SAMPLE	Crotone498_SAMPLE	Italian	0.0471698113207547	0.0943396226415094	0
Crotone500_SAMPLE	Crotone500_SAMPLE	Italian	0.433962264150943	0.754716981132076	0
Crotone501_SAMPLE	Crotone501_SAMPLE	Italian	0.0377358490566038	0.0754716981132075	0
Crotone502_SAMPLE	Crotone502_SAMPLE	Italian	0.0660377358490566	0.132075471698113	0
Crotone505_SAMPLE	Crotone505_SAMPLE	Italian	0.0754716981132075	0.150943396226415	0
Crotone510_SAMPLE	Crotone510_SAMPLE	Italian	0.424528301886792	0.735849056603774	0
Crotone512_SAMPLE	Crotone512_SAMPLE	Italian	0.0660377358490566	0.132075471698113	0
Crotone514_SAMPLE	Crotone514_SAMPLE	Italian	0.0377358490566038	0.0754716981132075	0
Crotone517_SAMPLE	Crotone517_SAMPLE	Italian	0.405660377358491	0.811320754716981	0
Crotone518_SAMPLE	Crotone518_SAMPLE	Italian	0.0660377358490566	0.132075471698113	0
FR046_SAMPLE	FR046_SAMPLE	House	0	0	0
FR049_SAMPLE	FR049_SAMPLE	House	0.00943396226415094	0.0188679245283019	0
FR051_SAMPLE	FR051_SAMPLE	House	0.00943396226415094	0.0188679245283019	0
FR063_SAMPLE	FR063_SAMPLE	House	0.0188679245283019	0.0377358490566038	0
FR064_SAMPLE	FR064_SAMPLE	House	0.0754716981132075	0.150943396226415	0
Guglionesi_336_SAMPLE	Guglionesi_336_SAMPLE	Italian	0.0377358490566038	0.0754716981132075	0
Guglionesi_426_SAMPLE	Guglionesi_426_SAMPLE	Italian	0.0471698113207547	0.0943396226415094	0
Guglionesi_427_SAMPLE	Guglionesi_427_SAMPLE	Italian	0.0943396226415094	0.0754716981132075	0
Guglionesi_428_SAMPLE	Guglionesi_428_SAMPLE	Italian	0.179245283018868	0.358490566037736	0
Guglionesi_429_SAMPLE	Guglionesi_429_SAMPLE	Italian	0.10377358490566	0.0943396226415094	0
Guglionesi_431_SAMPLE	Guglionesi_431_SAMPLE	Italian	0.0566037735849057	0.113207547169811	0
Guglionesi_432_SAMPLE	Guglionesi_432_SAMPLE	Italian	0.0660377358490566	0.132075471698113	0
Guglionesi_433_SAMPLE	Guglionesi_433_SAMPLE	Italian	0.471698113207547	0.905660377358491	0
Guglionesi_434_SAMPLE	Guglionesi_434_SAMPLE	Italian	0.0754716981132075	0.150943396226415	0
Guglionesi_435_SAMPLE	Guglionesi_435_SAMPLE	Italian	0.10377358490566	0.0943396226415094	0
KAZ14001_SAMPLE	KAZ14001_SAMPLE	Spanish	0.990566037735849	0.0188679245283019	0
KAZ14003_SAMPLE	KAZ14003_SAMPLE	Spanish	0.990196078431373	0.0196078431372549	0.0377358490566038
KAZ14032_SAMPLE	KAZ14032_SAMPLE	Spanish	0.990566037735849	0.0188679245283019	0
KAZ14035_SAMPLE	KAZ14035_SAMPLE	Spanish	0.990384615384615	0.0192307692307692	0.0188679245283019
KAZ14053_SAMPLE	KAZ14053_SAMPLE	Spanish	1	0	0.0188679245283019
KAZ14054_SAMPLE	KAZ14054_SAMPLE	Spanish	1	0	0
KAZ14055_SAMPLE	KAZ14055_SAMPLE	Spanish	1	0	0.0188679245283019
KAZ14057_SAMPLE	KAZ14057_SAMPLE	Spanish	1	0	0
KAZ14059_SAMPLE	KAZ14059_SAMPLE	Spanish	0.990384615384615	0.0192307692307692	0.0188679245283019
KAZ14061_SAMPLE	KAZ14061_SAMPLE	Spanish	1	0	0.0188679245283019
PDOM2022NLD0042M_SAMPLE	PDOM2022NLD0042M_SAMPLE	House	0.00943396226415094	0.0188679245283019	0
PDOM2022NLD0044M_SAMPLE	PDOM2022NLD0044M_SAMPLE	House	0.00943396226415094	0.0188679245283019	0
PDOM2022NLD0045M_SAMPLE	PDOM2022NLD0045M_SAMPLE	House	0.00943396226415094	0.0188679245283019	0
PDOM2022NLD0046M_SAMPLE	PDOM2022NLD0046M_SAMPLE	House	0.0660377358490566	0.132075471698113	0
PDOM2022NLD0072M_SAMPLE	PDOM2022NLD0072M_SAMPLE	House	0.00943396226415094	0.0188679245283019	0
PDOM2022NLD0077M_SAMPLE	PDOM2022NLD0077M_SAMPLE	Meerkerk	0	0	0
PI22NLD0001M_SAMPLE	PI22NLD0001M_SAMPLE	Y150239	0.00943396226415094	0.0188679245283019	0
